AST,Age,BLK,DRB,FGA,FGM,FGP,FTA,FTM,FTP,Games,GamesStarted,MinutesPlayed,Name,ORB,PF,PTS,Pos,STL,TOV,TRB,Team,ThreePA,ThreePM,ThreePP,TwoPA,TwoPM,TwoPP,eFGP
0.8,24,0.5,2.3,5.3,2.3,.428,1.8,1.3,.710,39,0,17.1,Keita Bates-Diop,0.5,1.0,6.6,SF,0.4,0.4,2.9,,2.4,0.8,.330,2.9,1.5,.509,.502
3.0,31,0.4,3.4,3.7,1.3,.346,0.5,0.4,.900,22,3,23.0,Nicolas Batum,1.1,1.9,3.6,SF,0.8,1.0,4.5,CHO,2.2,0.6,.286,1.5,0.6,.438,.432
1.6,33,0.5,4.0,9.1,4.4,.480,1.8,1.3,.747,42,28,22.2,Aron Baynes,1.7,3.4,11.5,C,0.2,1.2,5.6,PHO,4.0,1.4,.351,5.1,3.0,.582,.558
1.3,30,0.6,4.0,7.7,2.9,.374,2.2,1.7,.768,64,21,25.1,Kent Bazemore,0.4,2.8,8.7,SF-SG,1.1,1.3,4.3,,3.6,1.2,.342,4.2,1.7,.401,.453
0.5,19,0.7,3.3,4.3,1.7,.383,0.9,0.6,.681,53,8,17.2,Darius Bazley,0.4,0.8,4.5,PF,0.4,0.8,3.7,OKC,1.9,0.6,.300,2.5,1.1,.446,.448
6.1,26,0.4,3.3,22.9,10.4,.455,8.0,6.8,.842,57,57,36.0,Bradley Beal,0.9,2.2,30.5,SG,1.2,3.4,4.2,WAS,8.4,3.0,.353,14.4,7.4,.515,.520
1.4,23,0.1,2.4,9.7,4.1,.425,1.2,1.0,.818,55,14,22.0,Malik Beasley,0.3,1.4,11.2,SG,0.7,1.0,2.7,,5.0,1.9,.388,4.7,2.2,.465,.525
1.2,33,0.0,1.7,5.2,2.0,.391,0.8,0.6,.780,52,0,15.0,Marco Belinelli,0.1,0.8,5.8,SG,0.2,0.3,1.7,SAS,3.0,1.1,.368,2.2,0.9,.422,.496
0.6,25,0.3,1.8,2.3,1.2,.522,1.1,0.7,.613,29,0,8.8,Jordan Bell,1.0,0.7,3.2,C-PF,0.1,0.7,2.8,,0.4,0.1,.333,1.9,1.1,.564,.552
1.9,25,0.4,2.7,5.3,2.4,.456,1.1,0.6,.542,43,4,21.3,DeAndre' Bembry,0.8,2.0,5.8,SG,1.3,1.4,3.5,ATL,1.5,0.3,.231,3.8,2.1,.546,.489
1.8,22,0.6,3.6,5.8,2.6,.446,0.9,0.6,.714,16,3,17.9,Dragan Bender,1.0,2.6,6.7,SF,0.3,1.3,4.6,,2.7,0.9,.349,3.1,1.6,.531,.527
1.7,27,0.6,3.9,11.3,4.9,.434,2.3,1.9,.852,54,4,29.3,Dāvis Bertāns,0.6,2.6,15.4,PF,0.7,1.1,4.5,WAS,8.7,3.7,.424,2.6,1.2,.471,.598
3.7,31,0.5,4.2,6.8,2.9,.428,0.9,0.6,.659,48,48,27.1,Patrick Beverley,1.2,3.1,7.9,PG,1.1,1.3,5.4,LAC,4.1,1.6,.379,2.6,1.3,.504,.543
0.9,27,0.5,2.8,2.9,1.4,.487,1.7,1.0,.612,40,24,19.4,Khem Birch,1.8,1.8,3.8,C,0.4,0.6,4.5,ORL,0.0,0.0,.000,2.9,1.4,.491,.487
0.4,20,0.7,1.5,2.6,1.2,.473,0.7,0.5,.727,49,2,8.4,Goga Bitadze,0.4,1.2,3.1,C,0.1,0.5,2.0,IND,0.7,0.1,.167,1.9,1.1,.591,.496
0.9,27,0.9,3.5,5.2,2.8,.543,2.8,1.7,.603,53,29,19.4,Bismack Biyombo,2.3,2.2,7.4,C,0.2,0.9,5.8,CHO,0.0,0.0,,5.2,2.8,.543,.543
2.8,31,0.5,4.8,9.4,4.5,.475,1.1,0.9,.822,64,61,28.5,Nemanja Bjelica,1.7,3.0,11.9,PF,0.8,1.4,6.4,SAC,4.6,2.0,.424,4.8,2.5,.524,.579
5.4,30,0.4,3.9,11.8,5.7,.482,3.4,2.8,.813,56,56,27.2,Eric Bledsoe,0.7,2.1,15.4,PG,0.9,2.5,4.6,MIL,3.6,1.3,.348,8.2,4.4,.540,.535
3.2,27,0.3,2.9,12.1,5.2,.433,2.0,1.4,.724,53,20,28.5,Bogdan Bogdanović,0.3,2.2,14.5,SG,1.0,1.7,3.2,SAC,7.2,2.6,.361,4.9,2.6,.541,.541
2.1,30,0.1,3.5,14.8,6.6,.447,4.4,4.0,.903,63,63,33.1,Bojan Bogdanović,0.6,1.7,20.2,SF,0.5,2.5,4.1,UTA,7.3,3.0,.414,7.6,3.6,.479,.548
0.0,24,0.3,0.9,1.6,0.6,.364,0.6,0.3,.500,7,0,6.7,Jonah Bolden,0.4,1.4,1.4,PF,0.4,0.3,1.3,,0.6,0.0,.000,1.0,0.6,.571,.364
0.0,21,0.0,2.0,0.0,0.0,,0.0,0.0,,1,0,3.0,Marques Bolden,0.0,1.0,0.0,C,1.0,0.0,2.0,CLE,0.0,0.0,,0.0,0.0,,
0.8,22,0.0,0.4,2.0,0.5,.250,0.0,0.0,,10,0,5.3,Jordan Bone,0.0,0.6,1.2,PG,0.1,0.2,0.4,DET,1.0,0.2,.200,1.0,0.3,.300,.300
1.1,20,0.4,2.1,3.2,1.7,.522,1.1,0.9,.813,58,41,17.7,Isaac Bonga,1.1,2.3,4.6,SF,0.6,0.7,3.2,WAS,0.9,0.4,.400,2.2,1.3,.574,.582
6.6,23,0.3,3.7,18.0,8.8,.487,7.1,6.5,.916,62,62,36.1,Devin Booker,0.4,3.0,26.1,SG,0.7,3.9,4.2,PHO,5.6,2.0,.360,12.4,6.7,.544,.543
0.4,27,1.0,2.7,4.7,2.2,.458,1.9,1.5,.796,55,0,13.2,Chris Boucher,1.7,1.9,6.3,PF,0.4,0.4,4.4,TOR,1.8,0.5,.283,2.9,1.7,.565,.512
0.0,21,0.2,1.2,1.8,0.4,.222,0.0,0.0,,5,1,5.8,Brian Bowen,0.2,0.4,0.8,SG,0.0,0.2,1.4,IND,0.4,0.0,.000,1.4,0.4,.286,.222
2.9,22,0.2,2.2,7.1,3.0,.417,0.9,0.8,.829,45,12,22.6,Ky Bowman,0.5,2.3,7.4,PG,1.0,1.6,2.7,GSW,2.4,0.7,.308,4.8,2.2,.472,.469
1.3,29,0.1,2.0,7.8,3.5,.444,0.5,0.4,.833,49,44,24.2,Avery Bradley,0.4,2.2,8.6,SG,0.9,1.0,2.3,LAL,3.5,1.3,.364,4.3,2.2,.510,.526
0.3,22,0.5,2.5,3.1,2.1,.665,0.8,0.5,.650,50,2,10.7,Tony Bradley,1.8,2.0,4.7,C,0.2,0.5,4.3,UTA,0.0,0.0,1.000,3.1,2.0,.662,.668
0.2,23,0.4,1.0,0.0,0.0,,0.0,0.0,,5,0,2.6,Jarrell Brantley,0.0,0.4,0.0,PF,0.0,0.4,1.0,UTA,0.0,0.0,,0.0,0.0,,
0.4,21,0.1,0.3,2.4,0.7,.273,0.6,0.4,.800,9,0,5.9,Ignas Brazdeikis,0.2,0.3,1.9,SF,0.0,0.2,0.6,NYK,1.0,0.1,.111,1.4,0.6,.385,.295
1.8,23,0.6,3.1,6.3,3.2,.516,1.6,1.4,.848,65,24,27.3,Mikal Bridges,0.9,2.2,8.7,SF,1.4,1.0,4.0,PHO,2.4,0.9,.352,3.8,2.4,.621,.585
1.8,21,0.7,4.2,11.6,4.9,.424,2.0,1.6,.809,65,64,30.7,Miles Bridges,1.4,2.0,13.0,SF,0.6,1.5,5.6,CHO,4.6,1.5,.330,7.0,3.4,.486,.489
0.4,21,0.1,0.9,1.9,0.7,.361,0.5,0.4,.800,19,0,7.1,Oshae Brissett,0.5,0.9,1.9,SF,0.2,0.4,1.4,TOR,0.8,0.2,.200,1.1,0.5,.476,.403
0.6,29,0.2,2.2,3.5,1.3,.373,0.5,0.4,.875,17,1,10.6,Ryan Broekhoff,0.3,0.9,4.2,SG,0.3,0.4,2.5,DAL,3.0,1.2,.392,0.5,0.1,.250,.542
7.1,27,0.2,3.9,13.7,6.0,.439,3.4,3.0,.895,48,48,30.7,Malcolm Brogdon,0.8,1.8,16.3,PG,0.7,2.4,4.7,IND,4.1,1.3,.313,9.7,4.8,.491,.485
2.0,24,0.4,2.3,14.2,5.7,.402,2.7,2.2,.809,65,65,28.5,Dillon Brooks,0.9,3.8,15.7,SG,0.9,1.7,3.3,MEM,5.5,2.0,.369,8.7,3.7,.423,.474
4.0,23,0.5,3.7,7.7,3.4,.443,2.1,1.5,.739,58,43,28.2,Bruce Brown,1.1,2.8,8.9,SG,1.1,1.7,4.7,DET,1.7,0.6,.344,6.1,2.8,.470,.480
0.2,22,0.2,0.2,1.9,0.6,.316,0.5,0.5,1.000,10,0,4.0,Charlie Brown,0.2,0.3,2.0,SG,0.2,0.3,0.4,ATL,0.9,0.3,.333,1.0,0.3,.300,.395
2.2,23,0.3,5.3,15.4,7.6,.490,4.3,3.2,.736,50,50,34.0,Jaylen Brown,1.1,3.0,20.4,SF,1.1,2.3,6.4,BOS,5.6,2.1,.381,9.8,5.4,.552,.559
0.1,20,0.1,1.2,1.1,0.4,.400,0.9,0.3,.375,9,0,3.7,Moses Brown,0.3,0.8,1.2,C,0.1,0.3,1.6,POR,0.0,0.0,,1.1,0.4,.400,.400
1.0,24,0.2,3.0,4.8,1.8,.367,0.8,0.6,.771,45,1,14.8,Sterling Brown,0.6,1.0,5.0,SF,0.5,0.8,3.7,MIL,2.5,0.8,.316,2.3,1.0,.423,.450
2.3,20,0.1,4.3,8.3,3.8,.453,1.9,1.4,.754,61,14,24.9,Troy Brown Jr.,1.0,1.8,9.7,SG,1.2,1.1,5.3,WAS,2.4,0.8,.345,5.9,2.9,.496,.502
3.3,23,0.1,2.0,6.8,3.2,.466,1.3,1.1,.813,57,16,17.9,Jalen Brunson,0.4,1.3,8.2,PG,0.4,1.2,2.4,DAL,2.1,0.8,.358,4.7,2.4,.515,.522
1.9,22,0.9,4.9,8.1,4.8,.599,2.5,1.8,.737,38,28,23.7,Thomas Bryant,2.0,2.2,12.1,C,0.4,1.3,6.8,WAS,1.4,0.6,.407,6.7,4.3,.640,.635
1.4,28,0.1,1.9,7.7,3.1,.402,0.7,0.6,.810,29,19,23.6,Reggie Bullock,0.4,1.9,8.1,SG,0.9,0.7,2.3,NYK,3.8,1.3,.333,3.9,1.8,.469,.484
2.1,27,0.0,0.8,5.1,2.4,.465,0.7,0.5,.722,25,0,13.2,Trey Burke,0.6,0.8,5.9,PG,0.3,0.5,1.4,PHI,1.5,0.6,.421,3.6,1.7,.483,.528
2.9,28,0.3,3.7,11.9,4.8,.404,4.3,3.8,.896,59,18,27.3,Alec Burks,0.7,2.0,15.1,SG,1.0,1.4,4.4,,4.6,1.7,.366,7.3,3.1,.428,.475
0.3,26,0.3,1.2,3.1,1.1,.371,0.4,0.2,.500,34,0,8.4,Deonte Burton,0.2,0.8,2.8,SG,0.1,0.4,1.4,OKC,1.4,0.3,.217,1.7,0.9,.492,.419
6.1,30,0.5,4.8,13.4,6.1,.454,9.1,7.6,.833,54,54,34.3,Jimmy Butler,1.8,1.4,20.2,SF,1.7,2.2,6.6,MIA,2.2,0.5,.248,11.2,5.5,.494,.474
0.4,24,0.6,1.1,2.9,1.2,.416,0.2,0.1,.800,27,0,8.1,Bruno Caboclo,0.8,0.9,2.7,SF,0.4,0.3,2.0,,1.0,0.1,.143,1.8,1.0,.571,.442
1.7,26,0.2,1.5,7.4,3.5,.472,1.5,1.2,.779,63,20,25.4,Kentavious Caldwell-Pope,0.6,1.9,9.5,SG,0.8,0.9,2.1,LAL,3.5,1.4,.394,3.9,2.1,.543,.565
0.2,22,0.1,0.4,1.1,0.4,.400,0.3,0.3,1.000,14,0,3.2,Vlatko Čančar,0.4,0.5,1.2,SF,0.1,0.2,0.7,DEN,0.4,0.1,.167,0.6,0.4,.556,.433
1.2,25,1.8,9.5,9.9,6.3,.629,2.7,1.4,.529,39,39,32.8,Clint Capela,4.3,2.6,13.9,C,0.8,1.6,13.8,HOU,0.0,0.0,,9.9,6.3,.629,.629
0.9,33,0.2,1.7,2.6,1.0,.389,1.7,1.1,.667,21,0,11.0,DeMarre Carroll,0.5,1.3,3.5,SF,0.2,0.8,2.2,,1.3,0.3,.259,1.3,0.7,.519,.454
1.3,24,0.3,1.5,4.1,1.6,.400,0.5,0.4,.840,50,2,15.1,Jevon Carter,0.5,1.5,4.6,PG,0.8,0.6,2.0,PHO,2.3,0.9,.393,1.8,0.7,.409,.512
0.8,43,0.4,1.8,5.1,1.8,.352,0.5,0.4,.793,60,0,14.6,Vince Carter,0.3,1.5,5.0,SF,0.4,0.6,2.1,ATL,3.4,1.0,.302,1.7,0.8,.451,.452
1.2,20,0.8,6.2,8.0,4.3,.534,3.5,2.6,.737,43,43,29.2,Wendell Carter Jr.,3.2,3.8,11.3,C,0.8,1.7,9.4,CHI,0.7,0.1,.207,7.3,4.1,.564,.542
2.4,28,0.5,2.3,5.8,2.5,.434,2.1,1.7,.828,42,0,18.4,Michael Carter-Williams,1.0,1.9,7.2,SG,1.1,1.1,3.3,ORL,1.6,0.5,.294,4.1,2.0,.489,.475
1.8,25,0.3,1.7,4.5,1.9,.423,1.3,1.0,.763,58,1,17.8,Alex Caruso,0.2,1.5,5.4,PG,1.0,0.8,1.9,LAL,1.8,0.7,.355,2.6,1.2,.471,.496
1.3,26,1.1,4.3,5.6,3.2,.579,1.2,0.7,.606,54,39,20.3,Willie Cauley-Stein,1.6,2.2,7.2,C,0.9,0.7,5.8,,0.0,0.0,.000,5.6,3.2,.581,.579
0.2,37,0.3,1.6,0.7,0.5,.778,0.5,0.2,.462,26,5,8.4,Tyson Chandler,1.0,1.2,1.3,C,0.2,0.3,2.5,HOU,0.0,0.0,,0.7,0.5,.778,.778
1.1,32,0.3,3.8,5.2,2.1,.404,0.7,0.6,.870,35,3,21.0,Wilson Chandler,0.3,2.3,5.9,SF,0.5,1.0,4.1,BRK,3.5,1.1,.306,1.8,1.1,.597,.505
0.3,24,0.0,0.0,1.8,0.0,.000,0.5,0.5,1.000,4,0,8.3,Joe Chealey,0.0,0.5,0.5,PG,1.0,0.5,0.0,CHO,1.0,0.0,.000,0.8,0.0,.000,.000
0.7,24,0.3,1.7,1.7,0.7,.400,0.0,0.0,,3,0,10.3,Zylan Cheatham,0.3,1.7,1.3,SF,0.0,1.0,2.0,NOP,0.3,0.0,.000,1.3,0.7,.500,.400
2.3,24,0.1,1.4,3.8,1.5,.405,0.1,0.1,1.000,21,0,11.9,Chris Chiozza,0.3,1.1,4.0,PG,0.7,0.8,1.7,,2.0,0.9,.439,1.8,0.7,.368,.519
1.9,22,1.1,4.3,6.5,3.6,.545,2.6,2.0,.769,59,21,20.3,Marquese Chriss,1.9,2.1,9.3,PF,0.7,1.3,6.2,GSW,0.7,0.1,.205,5.9,3.4,.584,.556
0.4,25,0.4,1.7,2.9,1.1,.376,0.3,0.2,.889,35,1,12.1,Gary Clark,0.8,0.9,3.2,PF,0.1,0.1,2.4,,2.5,0.8,.326,0.4,0.3,.667,.515
1.4,23,0.8,4.3,8.2,5.1,.623,1.9,1.5,.785,50,3,21.7,Brandon Clarke,1.6,1.6,12.0,PF,0.5,0.9,5.8,MEM,1.0,0.4,.404,7.1,4.7,.654,.648
2.0,27,0.2,1.9,12.0,5.6,.465,2.3,1.9,.841,63,0,24.2,Jordan Clarkson,0.7,1.5,15.1,SG,0.7,1.3,2.7,,5.6,2.1,.368,6.3,3.5,.550,.551
1.1,20,0.5,1.7,3.2,1.8,.563,1.4,0.7,.524,15,0,12.5,Nicolas Claxton,1.3,0.9,4.4,PF,0.1,0.6,2.9,BRK,0.5,0.1,.143,2.7,1.7,.634,.573
0.8,22,0.2,0.7,4.3,1.8,.405,0.2,0.2,.857,29,0,8.7,Chris Clemons,0.1,0.7,4.9,SG,0.2,0.6,0.8,HOU,3.2,1.1,.351,1.1,0.6,.563,.536
0.0,25,0.2,0.5,1.0,0.3,.333,0.3,0.2,.500,6,0,3.7,Antonius Cleveland,0.0,0.3,0.8,SG,0.2,0.2,0.5,DAL,0.2,0.0,.000,0.8,0.3,.400,.333
0.7,22,0.1,0.8,2.5,1.0,.394,0.2,0.1,.333,13,0,7.5,Amir Coffey,0.3,0.9,2.2,SG,0.1,0.2,1.1,LAC,0.5,0.1,.143,2.0,0.9,.462,.409
1.5,22,1.6,7.3,14.8,8.6,.583,3.7,2.9,.800,41,41,33.2,John Collins,2.8,3.4,21.6,PF,0.8,1.8,10.1,ATL,3.6,1.4,.401,11.2,7.2,.642,.632
2.0,22,0.7,2.7,6.3,3.0,.474,2.0,2.0,1.000,3,3,28.7,Zach Collins,1.3,3.7,9.0,PF,0.0,2.0,4.0,POR,2.3,1.0,.429,4.0,2.0,.500,.553
4.3,32,0.1,2.6,11.9,4.8,.405,2.9,2.3,.795,41,35,28.6,Mike Conley,0.7,2.2,13.8,PG,0.8,1.9,3.2,UTA,5.2,2.0,.376,6.7,2.9,.429,.488
1.6,27,0.5,3.3,4.3,2.0,.456,0.6,0.4,.750,61,1,18.3,Pat Connaughton,0.9,1.0,5.1,SG,0.3,0.8,4.2,MIL,2.2,0.7,.321,2.0,1.2,.605,.540
1.1,26,0.0,0.9,4.6,2.0,.439,0.2,0.2,.667,38,0,10.8,Quinn Cook,0.2,0.6,4.8,PG,0.3,0.7,1.1,LAL,1.7,0.7,.379,2.8,1.3,.477,.512
0.1,22,0.0,0.5,0.9,0.6,.700,0.5,0.5,.833,11,0,3.2,Tyler Cook,0.4,0.4,1.7,PF,0.1,0.1,0.9,CLE,0.0,0.0,,0.9,0.6,.700,.700
1.2,29,1.3,5.5,10.5,4.5,.432,1.7,1.4,.796,62,60,30.1,Robert Covington,0.9,3.2,12.8,PF,1.5,1.5,6.4,,6.8,2.4,.349,3.6,2.1,.589,.546
0.9,27,0.1,1.8,4.8,1.7,.356,0.4,0.3,.714,37,1,17.6,Allen Crabbe,0.3,1.3,4.6,SG,0.4,0.5,2.1,,3.2,1.0,.303,1.6,0.7,.466,.458
0.7,29,0.6,2.2,4.2,1.9,.462,0.6,0.4,.645,50,19,17.4,Torrey Craig,1.0,2.2,5.0,SF,0.4,0.4,3.1,DEN,2.2,0.7,.330,2.0,1.2,.606,.548
2.6,29,0.4,5.3,8.8,3.4,.384,2.1,1.6,.785,58,46,29.2,Jae Crowder,0.8,2.2,10.4,SF,1.2,1.1,6.1,,6.1,1.9,.318,2.7,1.4,.532,.494
1.7,20,0.6,2.3,9.0,3.7,.404,1.9,0.9,.462,63,35,23.9,Jarrett Culver,1.1,2.0,9.2,SG,0.9,1.3,3.4,MIN,3.5,1.0,.299,5.5,2.6,.471,.462
2.0,29,0.1,1.9,9.0,4.5,.500,1.5,1.3,.841,59,20,24.5,Seth Curry,0.4,1.7,12.6,SG,0.6,1.0,2.4,DAL,5.1,2.3,.453,3.9,2.2,.560,.628
6.6,31,0.4,4.4,16.4,6.6,.402,5.2,5.2,1.000,5,5,27.8,Stephen Curry,0.8,2.2,20.8,PG,1.0,3.2,5.2,GSW,9.8,2.4,.245,6.6,4.2,.636,.476
0.3,28,0.1,0.8,3.8,1.5,.390,0.4,0.2,.625,42,0,10.9,Troy Daniels,0.3,0.7,4.1,SG,0.2,0.2,1.1,,2.7,1.0,.354,1.1,0.5,.478,.516
3.1,26,2.4,7.1,18.1,9.2,.511,8.3,7.0,.845,55,55,34.3,Anthony Davis,2.3,2.5,26.7,PF,1.5,2.5,9.4,LAL,3.5,1.2,.335,14.5,8.1,.554,.544
0.3,30,0.4,2.6,1.4,0.6,.412,0.4,0.2,.455,25,0,10.7,Ed Davis,1.2,2.2,1.3,C,0.4,0.5,3.8,UTA,0.0,0.0,,1.4,0.6,.412,.412
1.7,22,0.2,2.7,6.1,2.8,.463,0.8,0.7,.865,64,2,17.0,Terence Davis,0.7,1.6,7.7,SG,0.5,1.0,3.4,TOR,3.5,1.4,.396,2.6,1.5,.550,.575
0.5,30,0.9,4.3,5.8,2.3,.400,0.8,0.7,.833,44,18,17.6,Dewayne Dedmon,1.4,3.0,5.8,C,0.6,1.3,5.7,,2.4,0.5,.206,3.4,1.8,.541,.443
3.2,29,0.0,1.0,3.1,1.1,.354,0.6,0.6,.865,57,4,14.4,Matthew Dellavedova,0.3,1.4,3.1,PG,0.4,1.0,1.3,CLE,1.6,0.4,.231,1.5,0.7,.488,.414
5.6,30,0.2,5.0,15.7,8.2,.526,6.6,5.5,.843,61,61,34.3,DeMar DeRozan,0.6,2.7,22.2,SF,1.0,2.4,5.6,SAS,0.5,0.1,.267,15.2,8.1,.535,.530
0.5,23,0.3,2.3,3.1,2.0,.650,0.8,0.7,.865,44,2,10.6,Cheick Diallo,0.6,1.2,4.8,C,0.2,0.7,2.9,PHO,0.0,0.0,.500,3.1,2.0,.652,.653
0.6,21,0.2,2.4,5.8,2.6,.452,1.2,0.7,.622,38,3,18.4,Hamidou Diallo,0.8,2.2,6.1,SF,0.7,1.0,3.2,OKC,0.9,0.2,.200,4.8,2.4,.500,.468
1.2,30,1.0,4.3,5.9,2.7,.461,1.4,1.1,.735,58,17,17.4,Gorgui Dieng,1.5,1.9,7.4,C,0.8,0.9,5.8,,2.4,0.9,.359,3.5,1.8,.532,.535
6.8,26,0.3,3.0,16.0,6.6,.415,7.0,5.4,.778,64,49,31.2,Spencer Dinwiddie,0.5,2.8,20.6,SG,0.6,2.7,3.5,BRK,6.3,1.9,.308,9.7,4.7,.485,.476
